no_frame,violence
19,0.9859927
20,0.985606
21,0.9880391
22,0.9885111
23,0.9886157
24,0.98912954
25,0.9893371
26,0.9893806
27,0.98752844
28,0.9869544
29,0.98689073
30,0.98730624
31,0.9874758
32,0.9874184
33,0.9854419
34,0.98420495
35,0.983818
36,0.98506016
37,0.98535836
38,0.98560613
39,0.984916
40,0.9849007
41,0.984876
42,0.9852643
43,0.9853726
44,0.98529124
45,0.9693542
46,0.9592255
47,0.9548035
48,0.9630757
49,0.96513855
50,0.96492463
51,0.9758892
52,0.97822124
53,0.9789651
54,0.97821265
55,0.97800386
56,0.97804993
57,0.98159385
58,0.98257184
59,0.9828843
